"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: file"
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,121.799029,NaN,"us/op",auction_1-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,488.743312,NaN,"us/op",auction_1-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,477.353901,NaN,"us/op",auction_1-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,152.181605,NaN,"us/op",auction_1-4.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,119.945061,NaN,"us/op",auction_2-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,481.343026,NaN,"us/op",auction_2-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,627.247270,NaN,"us/op",auction_2-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,479.280473,NaN,"us/op",auction_2-4.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,153.450346,NaN,"us/op",auction_2-5.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,153.206752,NaN,"us/op",coop-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,497.278973,NaN,"us/op",coop-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,1741.583100,NaN,"us/op",coop-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,650.899775,NaN,"us/op",coop-4.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,268.624743,NaN,"us/op",coop-5.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,458.313211,NaN,"us/op",coop-6.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,215.068133,NaN,"us/op",coop-7.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,139.595977,NaN,"us/op",crowdfunding-success-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,141.149670,NaN,"us/op",crowdfunding-success-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,144.916602,NaN,"us/op",crowdfunding-success-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,185.385591,NaN,"us/op",currency-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,250.822588,NaN,"us/op",escrow-redeem_1-1.flat
