Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
auction_1-1,7.893465563780078e-5,7.872937761055881e-5,7.922557877412378e-5,1.092926031689333e-6,7.824657975322024e-7,1.5357876475280587e-6
auction_1-2,2.995485823721265e-4,2.9806373472497535e-4,3.011135235567468e-4,6.477759144446223e-6,5.633822483576588e-6,7.225927887340008e-6
auction_1-3,2.86815960536825e-4,2.85801973184923e-4,2.881498844761595e-4,4.774914209171198e-6,3.7213690897826915e-6,5.776431499731901e-6
auction_1-4,1.0203655768242059e-4,1.0167669123265626e-4,1.0251091011365351e-4,1.6629747503332146e-6,1.3858791349753212e-6,1.950373247652724e-6
auction_2-1,8.010481103254847e-5,7.9770413109558e-5,8.0478934168661e-5,1.4750978569613565e-6,1.372091296966642e-6,1.6323750428522356e-6
auction_2-2,2.9872491487048985e-4,2.9783832170547826e-4,2.998194709500082e-4,4.548828817041571e-6,3.4495104590614117e-6,5.821889545673051e-6
auction_2-3,3.87342492498527e-4,3.861787190712452e-4,3.8886811087082473e-4,5.850556361248618e-6,4.83083876900842e-6,7.308549394273036e-6
auction_2-4,2.9500654541865387e-4,2.934067396785476e-4,2.963989699522823e-4,6.578622475248241e-6,6.033637891023305e-6,7.291741091891491e-6
auction_2-5,1.027002539738431e-4,1.0240251606116352e-4,1.0313999838822548e-4,1.6866930130181363e-6,1.2323749179854074e-6,2.482552754317857e-6
coop-1,1.0400010929083961e-4,1.0376189853169422e-4,1.0431067260557434e-4,1.178002395544029e-6,9.256472678242032e-7,1.4403144747509345e-6
coop-2,3.4044007254663836e-4,3.3909780419360647e-4,3.420469149121585e-4,6.1389326793192944e-6,5.4812202497808214e-6,6.891751142054284e-6
coop-3,1.0321850438726621e-3,1.0282079556366704e-3,1.0382825776573438e-3,2.2186131041358036e-5,1.970104499504803e-5,2.6273167208429503e-5
coop-4,4.552457279819441e-4,4.5332634864219095e-4,4.5756714606591016e-4,8.828957398924031e-6,7.689934263559836e-6,9.955782159107234e-6
coop-5,1.8684825278083265e-4,1.8628703247079213e-4,1.8764237729580136e-4,2.849447811062634e-6,2.34030247978475e-6,3.382670026386389e-6
coop-6,3.094949895136912e-4,3.088777574214255e-4,3.104769417271004e-4,3.291859766212555e-6,2.3010126853786083e-6,5.650963741406768e-6
coop-7,1.45645205161305e-4,1.4522899597611578e-4,1.4622130173220572e-4,2.069706253993963e-6,1.7527491003565198e-6,2.4802994119729574e-6
crowdfunding-success-1,9.698356520408302e-5,9.656556550071148e-5,9.741189539057904e-5,1.8326697319967831e-6,1.6546453736444262e-6,2.0773571903998594e-6
crowdfunding-success-2,9.66967860504461e-5,9.631071767644669e-5,9.719658049916086e-5,2.033919470303495e-6,1.715051317277424e-6,2.4911033767243145e-6
crowdfunding-success-3,9.504922455280734e-5,9.474862646559984e-5,9.53812971160446e-5,1.422084948680029e-6,1.1121608739400035e-6,1.6885226620192036e-6
currency-1,1.1459038116998094e-4,1.1406750452572749e-4,1.1523336473275071e-4,2.499661532996238e-6,2.258537950573333e-6,2.847426751614505e-6
escrow-redeem_1-1,1.6189939958514776e-4,1.6122880804022926e-4,1.6290054664432158e-4,3.6452869169053546e-6,3.0017381668838418e-6,4.918501563376392e-6
escrow-redeem_1-2,1.6115809573702175e-4,1.6051538869948164e-4,1.6188958530684422e-4,2.9673553333407332e-6,2.4427941964568975e-6,3.436591704827704e-6
escrow-redeem_2-1,1.875840678745092e-4,1.8667029997063156e-4,1.885684833701886e-4,4.2624330193153475e-6,3.893994689576255e-6,4.758868484100671e-6
escrow-redeem_2-2,1.8565614697120265e-4,1.8501570266001702e-4,1.869430929173397e-4,3.826998608739066e-6,2.5862315533732983e-6,6.551325097500364e-6
escrow-redeem_2-3,1.8519156989144043e-4,1.8467977512053442e-4,1.8586990726060184e-4,2.496573835263892e-6,1.881886436117514e-6,3.2168558052297866e-6
