"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: file"
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,265.851448,NaN,"us/op",ping-pong-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,289.071962,NaN,"us/op",ping-pong-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,161.199058,NaN,"us/op",ping-pong_2-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,129.824744,NaN,"us/op",prism-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,330.884730,NaN,"us/op",prism-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,291.950642,NaN,"us/op",prism-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,108.562875,NaN,"us/op",pubkey-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,786.208202,NaN,"us/op",stablecoin_1-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,153.466264,NaN,"us/op",stablecoin_1-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,903.414557,NaN,"us/op",stablecoin_1-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,158.467128,NaN,"us/op",stablecoin_1-4.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,1130.846423,NaN,"us/op",stablecoin_1-5.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,197.362555,NaN,"us/op",stablecoin_1-6.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,782.421325,NaN,"us/op",stablecoin_2-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,151.689892,NaN,"us/op",stablecoin_2-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,914.819267,NaN,"us/op",stablecoin_2-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,156.281037,NaN,"us/op",stablecoin_2-4.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,153.875248,NaN,"us/op",token-account-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,266.134170,NaN,"us/op",token-account-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,348.406266,NaN,"us/op",uniswap-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,176.433557,NaN,"us/op",uniswap-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,1361.280100,NaN,"us/op",uniswap-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,253.012905,NaN,"us/op",uniswap-4.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,879.431761,NaN,"us/op",uniswap-5.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,247.566245,NaN,"us/op",uniswap-6.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,284.997633,NaN,"us/op",vesting-1.flat
