"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: file"
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,131.344687,NaN,"us/op",auction_1-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,514.608783,NaN,"us/op",auction_1-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,514.909860,NaN,"us/op",auction_1-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,167.255244,NaN,"us/op",auction_1-4.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,131.201796,NaN,"us/op",auction_2-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,528.344993,NaN,"us/op",auction_2-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,684.646394,NaN,"us/op",auction_2-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,516.400494,NaN,"us/op",auction_2-4.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,167.597767,NaN,"us/op",auction_2-5.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,151.984212,NaN,"us/op",crowdfunding-success-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,149.195779,NaN,"us/op",crowdfunding-success-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,151.776982,NaN,"us/op",crowdfunding-success-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,199.838566,NaN,"us/op",currency-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,269.969235,NaN,"us/op",escrow-redeem_1-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,269.166639,NaN,"us/op",escrow-redeem_1-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,318.579465,NaN,"us/op",escrow-redeem_2-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,310.932059,NaN,"us/op",escrow-redeem_2-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,316.805741,NaN,"us/op",escrow-redeem_2-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,118.070633,NaN,"us/op",escrow-refund-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,199.818721,NaN,"us/op",future-increase-margin-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,433.150679,NaN,"us/op",future-increase-margin-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,416.918397,NaN,"us/op",future-increase-margin-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,388.634697,NaN,"us/op",future-increase-margin-4.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,706.097613,NaN,"us/op",future-increase-margin-5.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,192.918017,NaN,"us/op",future-pay-out-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,433.371284,NaN,"us/op",future-pay-out-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,419.852158,NaN,"us/op",future-pay-out-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,688.668964,NaN,"us/op",future-pay-out-4.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,199.806605,NaN,"us/op",future-settle-early-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,417.360694,NaN,"us/op",future-settle-early-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,424.888156,NaN,"us/op",future-settle-early-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,519.872838,NaN,"us/op",future-settle-early-4.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,292.428597,NaN,"us/op",game-sm-success_1-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,145.675471,NaN,"us/op",game-sm-success_1-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,513.574820,NaN,"us/op",game-sm-success_1-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,173.886434,NaN,"us/op",game-sm-success_1-4.flat
