Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
auction_1-1,8.504138357175095e-5,8.43299231545247e-5,8.665016366849486e-5,4.349041586571732e-6,1.712193627618895e-6,7.433149782833992e-6
auction_1-2,3.2745078814834066e-4,3.244143911888474e-4,3.320850941041905e-4,1.553206688224373e-5,9.638862831039887e-6,2.31219891756343e-5
auction_1-3,3.2164768347785693e-4,3.1752257484225267e-4,3.304491797521875e-4,2.4986221352594858e-5,1.4548391914054582e-5,4.273831038516628e-5
auction_1-4,1.1011630211738231e-4,1.0970788628124243e-4,1.1061072405301322e-4,2.028102720178045e-6,1.620598413138846e-6,2.7283179609514096e-6
auction_2-1,8.843707768550867e-5,8.791094473565863e-5,8.917692214748825e-5,2.820813177714223e-6,2.1377986255399976e-6,4.404729720161963e-6
auction_2-2,3.218337408254766e-4,3.1984925810610195e-4,3.2683381711566393e-4,1.2806042652663786e-5,6.634596801918251e-6,2.4092520942933497e-5
auction_2-3,4.2137843613651447e-4,4.18084408192496e-4,4.2916887474806723e-4,2.1171324752099515e-5,9.495975325710198e-6,3.854254912481115e-5
auction_2-4,3.1129259753374293e-4,3.0972606105480484e-4,3.132528322294454e-4,7.63291646991928e-6,6.0174549892822946e-6,9.645373801312506e-6
auction_2-5,1.1012109260896375e-4,1.0949788257927914e-4,1.1116759938796349e-4,3.538021546861998e-6,2.302922949247303e-6,5.656106138325075e-6
coop-1,1.1158298492953197e-4,1.1120282583814742e-4,1.122453286320035e-4,2.047558767812715e-6,1.1922833189849088e-6,3.2142171392630144e-6
coop-2,3.6511076616401806e-4,3.6165331619870104e-4,3.7538788250947156e-4,2.478307172027577e-5,9.212754485376847e-6,5.000183861858366e-5
coop-3,1.1126429039247706e-3,1.1069098829074395e-3,1.1218442001408382e-3,3.1482676776922076e-5,2.2855072553264138e-5,5.087961095733121e-5
coop-4,4.8050783934020544e-4,4.770580446320239e-4,4.921898647614888e-4,2.568308827938987e-5,3.972285981394983e-6,5.419692493864946e-5
coop-5,1.9825910853337153e-4,1.9770236813726884e-4,1.9913799902623508e-4,2.999587875156059e-6,2.202529064248292e-6,4.3171044117520074e-6
coop-6,3.6037303389411634e-4,3.458048730121872e-4,3.8241852351395607e-4,7.323936874391567e-5,5.686489928480675e-5,8.962657739676823e-5
coop-7,1.5513182881656166e-4,1.547106502324209e-4,1.556678454343513e-4,2.1612920889108036e-6,1.6894146099177221e-6,2.870656378265904e-6
crowdfunding-success-1,1.0388280423009714e-4,1.0342827183058621e-4,1.046588961275091e-4,2.3632304625125005e-6,1.5887631627727006e-6,4.03016049619114e-6
crowdfunding-success-2,1.0370231838978949e-4,1.0285538374465251e-4,1.0565193416261815e-4,5.55552394895177e-6,2.681707915103943e-6,1.0815467268665915e-5
crowdfunding-success-3,1.0281241034507453e-4,1.0230094628288242e-4,1.0383111069849238e-4,2.8978426214096903e-6,1.7547516993339664e-6,4.7302830782009426e-6
currency-1,1.240952500727661e-4,1.2336704801445348e-4,1.2539257189591663e-4,3.970691267497857e-6,2.6905993777561894e-6,6.719854715971182e-6
escrow-redeem_1-1,1.735906858180619e-4,1.7250060150578002e-4,1.7494928881479669e-4,5.079171335301244e-6,3.845159033639988e-6,7.0392892296166776e-6
escrow-redeem_1-2,1.742294290277538e-4,1.7259096770216645e-4,1.7846235359858666e-4,1.0876158484509828e-5,4.17194783188716e-6,2.1311979459257728e-5
escrow-redeem_2-1,2.0101145443881724e-4,2.0009987458096526e-4,2.0211593897422013e-4,4.509605932089598e-6,3.783569612367548e-6,5.56366341518974e-6
escrow-redeem_2-2,2.0103354541585445e-4,1.9906984640922747e-4,2.047824872902147e-4,1.137029038245342e-5,4.069530666848619e-6,1.8683868001804077e-5
escrow-redeem_2-3,2.0421451458647343e-4,2.031836668143895e-4,2.0521761265389514e-4,4.342794968152486e-6,3.871997188516348e-6,4.966861554413691e-6
escrow-refund-1,7.523012349249017e-5,7.495238266493087e-5,7.579507348692271e-5,1.7114996415540452e-6,1.2439606039615709e-6,2.6014569650876705e-6
