"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: file"
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,123.904720,NaN,"us/op",auction_1-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,484.891010,NaN,"us/op",auction_1-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,488.437637,NaN,"us/op",auction_1-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,155.305185,NaN,"us/op",auction_1-4.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,125.902495,NaN,"us/op",auction_2-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,485.450119,NaN,"us/op",auction_2-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,652.204107,NaN,"us/op",auction_2-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,488.681333,NaN,"us/op",auction_2-4.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,156.318364,NaN,"us/op",auction_2-5.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,154.853594,NaN,"us/op",coop-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,503.501223,NaN,"us/op",coop-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,1755.494412,NaN,"us/op",coop-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,664.150202,NaN,"us/op",coop-4.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,269.816309,NaN,"us/op",coop-5.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,467.338010,NaN,"us/op",coop-6.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,216.988285,NaN,"us/op",coop-7.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,144.665510,NaN,"us/op",crowdfunding-success-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,140.896302,NaN,"us/op",crowdfunding-success-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,143.182989,NaN,"us/op",crowdfunding-success-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,185.713109,NaN,"us/op",currency-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,254.188594,NaN,"us/op",escrow-redeem_1-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,252.619748,NaN,"us/op",escrow-redeem_1-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,297.955429,NaN,"us/op",escrow-redeem_2-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,294.976723,NaN,"us/op",escrow-redeem_2-2.flat
